raceId,season,round,raceName,date,circuitId,circuitName,country,lat,lng
1989_10,1989,10,Hungarian Grand Prix,1989-08-13,hungaroring,Hungaroring,Hungary,47.5789,19.2486
1989_11,1989,11,Belgian Grand Prix,1989-08-27,spa,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139
1989_12,1989,12,Italian Grand Prix,1989-09-10,monza,Autodromo Nazionale di Monza,Italy,45.6156,9.28111
1989_13,1989,13,Portuguese Grand Prix,1989-09-24,estoril,Autódromo do Estoril,Portugal,38.7506,-9.39417
1989_14,1989,14,Spanish Grand Prix,1989-10-01,jerez,Circuito de Jerez,Spain,36.7083,-6.03417
1989_15,1989,15,Japanese Grand Prix,1989-10-22,suzuka,Suzuka Circuit,Japan,34.8431,136.541
1989_16,1989,16,Australian Grand Prix,1989-11-05,adelaide,Adelaide Street Circuit,Australia,-34.9272,138.617
1990_1,1990,1,United States Grand Prix,1990-03-11,phoenix,Phoenix street circuit,USA,33.4479,-112.075
1990_2,1990,2,Brazilian Grand Prix,1990-03-25,interlagos,Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997
1990_3,1990,3,San Marino Grand Prix,1990-05-13,imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167
1990_4,1990,4,Monaco Grand Prix,1990-05-27,monaco,Circuit de Monaco,Monaco,43.7347,7.42056
1990_5,1990,5,Canadian Grand Prix,1990-06-10,villeneuve,Circuit Gilles Villeneuve,Canada,45.5,-73.5228
1990_6,1990,6,Mexican Grand Prix,1990-06-24,rodriguez,Autódromo Hermanos Rodríguez,Mexico,19.4042,-99.0907
1990_7,1990,7,French Grand Prix,1990-07-08,ricard,Circuit Paul Ricard,France,43.2506,5.79167
1990_8,1990,8,British Grand Prix,1990-07-15,silverstone,Silverstone Circuit,UK,52.0786,-1.01694
1990_9,1990,9,German Grand Prix,1990-07-29,hockenheimring,Hockenheimring,Germany,49.3278,8.56583
1990_10,1990,10,Hungarian Grand Prix,1990-08-12,hungaroring,Hungaroring,Hungary,47.5789,19.2486
1990_11,1990,11,Belgian Grand Prix,1990-08-26,spa,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139
1990_12,1990,12,Italian Grand Prix,1990-09-09,monza,Autodromo Nazionale di Monza,Italy,45.6156,9.28111
1990_13,1990,13,Portuguese Grand Prix,1990-09-23,estoril,Autódromo do Estoril,Portugal,38.7506,-9.39417
1990_14,1990,14,Spanish Grand Prix,1990-09-30,jerez,Circuito de Jerez,Spain,36.7083,-6.03417
1990_15,1990,15,Japanese Grand Prix,1990-10-21,suzuka,Suzuka Circuit,Japan,34.8431,136.541
